fecha;receta;operador;litros_past;kg_cuba;mg_cuba;mp_cuba;lactosa_cuba;ph_cuajado;ph_inicio_moldeo_cuba;ph_final_moldeo_cuba;formato;ph_inicio_moldeo_queso;ph_inicio_desmoldeo_queso;ph_fin_desmoldeo_queso;tiempo_salado;mg_salida_salmuera;ph_salida_salmuera;EST salida salmuera;peso_queso_total;sal_queso
11/03/2016;receta 29;5.0;12530;13061.1;5.14;4.13;4.34;6.53;6.43;6.37;3 kg;6.3;5.4;5.18;17:00;30.02;5.37;56.08;4491.0;1.39
11/03/2016;receta 29;5.0;12030;12599.03;5.3;4.24;4.46;6.53;6.42;6.35;3 kg;6.29;;;;30.89;5.36;57.99;1282.0;1.0
11/03/2016;receta 12;5.0;13090;13774.38;5.3;4.26;4.47;6.52;6.44;6.35;barra 4,2 kg;6.35;5.65;5.38;16:00;;;;4877.0;
11/03/2016;receta 06;5.0;13530;14030.82;5.35;4.04;4.33;6.51;6.41;6.36;3 kg;6.35;5.68;5.28;17:10;29.87;5.31;55.45;18177.0;1.57
11/03/2016;receta 07;7.0;10830;11626.83;4.61;3.37;4.33;6.53;6.45;6.35;barra 4,2 kg;6.32;5.5;5.2;15:30;30.59;5.39;56.36;4615.0;1.39
11/03/2016;receta 12;7.0;12530;12770.78;5.27;4.18;4.35;6.54;6.41;6.25;barra 4,2 kg;1815.0;5.57;5.3;10:45;30.18;5.34;56.16;13643.0;1.27
11/03/2016;receta 25;7.0;11530;11697.68;4.63;3.64;4.16;6.52;6.36;6.26;barra 4,2 kg;6.26;5.3;5.17;-0,681944444;31.62;5.37;57.42;3360.0;1.16
14/03/2016;receta 19;6.0;10020;10853.14;2.6;3.55;4.79;6.54;6.4;6.3;mini;6.35;5.64;5.31;3:45;;;;7382.0;
14/03/2016;receta 21;6.0;9020;9417.42;4.98;3.94;4.11;6.54;6.4;6.34;mini;6.4;5.58;5.24;4:30;30.56;5.61;56.36;4547.0;1.34
14/03/2016;receta 16;8.0;8520;8968.17;4.91;3.82;4.5;6.53;6.33;6.21;barra 3 kg;6.28;5.35;5.13;17:40;31.82;5.4;57.62;18426.0;1.56
14/03/2016;receta 26;8.0;8520;8921.97;4.76;3.68;4.39;6.53;6.32;;1 kg;6.16;5.41;5.12;7:20;;;;4549.0;
14/03/2016;receta 02;8.0;12530;13352.99;6.59;5.09;4.28;6.5;6.45;;3 kg;6.42;5.7;5.17;15:40;;;;15778.0;
14/03/2016;receta 15;8.0;9700;10421.12;5.14;4.07;4.22;6.51;6.47;6.41;1 kg;6.36;5.65;5.45;6:30;30.45;5.62;55.0;10681.0;1.88
14/03/2016;receta 03;5.0;12030;13247.23;4.95;3.82;4.56;6.51;6.35;6.26;3 kg;6.24;5.15;5.05;;31.74;5.29;57.77;6900.0;0.82
14/03/2016;receta 06;5.0;13030;13832.65;5.35;3.99;4.17;6.5;6.45;6.38;3 kg;6.39;5.43;5.2;15:05;30.48;5.44;56.41;6887.0;1.2
15/03/2016;receta 08;6.0;15030;16431.8;2.55;3.53;4.86;6.53;6.45;6.39;barra 4,2 kg;6.35;5.51;5.21;6:05;;;;11734.0;
15/03/2016;receta 02;6.0;10830;11415.4;6.62;5.2;4.41;6.55;6.5;6.46;3 kg;6.45;5.58;5.28;14:02;;;;6242.0;
15/03/2016;receta 10;6.0;14030;14546.27;4.51;3.56;4.21;6.58;6.42;6.08;barra 4,2 kg;6.2;5.19;5.12;16:20;31.67;5.44;58.54;9904.0;1.06
15/03/2016;receta 35;8.0;15030;15397.16;5.12;4.05;4.3;6.55;6.36;;barra 4,2 kg;6.3;5.46;5.32;12:20;30.63;5.41;57.81;2414.3;1.13
15/03/2016;receta 12;8.0;10750;11295.61;5.06;4.04;4.29;6.54;6.36;6.23;barra 4,2 kg;6.35;5.61;5.34;10:40;29.76;5.37;56.03;3425.3;1.26
15/03/2016;receta 11;8.0;9910;10383.15;4.74;3.76;4.6;6.48;6.3;6.12;3 kg;6.34;5.09;4.8;12:55;31.33;5.16;58.84;23469.0;1.16
15/03/2016;receta 25;8.0;10030;11037.33;4.74;3.75;4.6;6.51;6.41;6.35;barra 4,2 kg;6.3;5.45;5.31;13:45;30.34;5.3;56.64;2864.0;1.39
15/03/2016;receta 29;8.0;13530;14172.37;4.89;3.91;4.15;6.52;6.45;6.37;3 kg;6.37;5.62;5.35;17:50;29.49;5.32;55.8;8297.0;1.46
15/03/2016;receta 13;8.0;12010;12495.36;5.34;3.98;4.22;6.51;6.43;6.35;barra 4,2 kg;6.38;5.85;5.58;16:25;;;;6183.0;
15/03/2016;receta 31;8.0;13830;14279.2;6.08;4.84;4.31;6.57;6.5;6.46;barra 4,2 kg;6.37;5.76;5.27;14:55;30.82;5.41;58.02;2540.0;1.44
17/03/2016;receta 18;6.0;9020;8915.32;4.75;3.75;4.54;6.55;6.35;6.2;mini;6.27;5.38;5.12;5:00;;;;7285.0;
17/03/2016;receta 16;6.0;9020;9102.43;4.63;3.64;4.42;6.57;6.35;6.2;barra 3 kg;6.3;5.46;5.12;17:50;30.08;5.48;57.07;21674.0;1.18
17/03/2016;receta 20;6.0;9620;9227.8;4.56;3.29;4.35;6.53;6.4;;mini;6.24;5.14;5.0;3:45;30.48;5.43;57.47;9021.0;1.14
17/03/2016;receta 16;6.0;9520;9633.75;4.58;3.62;4.35;6.51;6.37;6.24;barra 3 kg;6.28;5.28;5.01;;29.58;5.35;56.87;1171.0;1.93
17/03/2016;receta 21;6.0;9910;10040.77;5.13;4.03;4.01;6.54;6.44;;mini;6.21;5.33;5.21;4:55;30.44;5.46;56.56;7376.0;1.46
18/03/2016;receta 10;7.0;13530;13522.32;4.53;3.58;4.28;6.54;6.38;6.2;barra 4,2 kg;6.1;5.22;5.0;2:40;29.65;5.41;56.2;13656.0;0.93
18/03/2016;receta 02;7.0;11530;12009.75;6.31;5.1;4.22;6.56;6.46;6.4;3 kg;6.42;5.8;5.21;16:05;;;;17830.0;
18/03/2016;receta 08;7.0;13830;14552.68;2.62;3.55;4.89;6.55;6.47;6.43;barra 4,2 kg;;5.63;5.28;4:40;19.84;5.53;51.1;13045.0;1.72
18/03/2016;receta 03;7.0;12530;12976.7;4.68;3.65;4.23;6.55;6.36;6.25;3 kg;6.3;5.09;5.0;19:40;31.95;5.47;58.28;15442.0;1.5
18/03/2016;receta 35;8.0;14530;14642.42;5.1;3.87;4.02;6.57;6.47;6.42;barra 4,2 kg;6.36;5.36;5.25;13:35;;;;2250.0;
18/03/2016;receta 12;8.0;13030;13692.17;5.4;4.17;4.3;6.58;6.42;;barra 4,2 kg;6.24;5.24;5.12;12:05;31.73;5.36;57.94;8074.0;1.01
18/03/2016;receta 06;8.0;12530;12888.82;5.35;4.0;4.39;6.52;6.42;6.35;3 kg;6.44;5.77;5.54;16:20;30.99;5.71;56.06;12255.0;1.48
18/03/2016;receta 31;8.0;7710;7854.5;6.16;4.5;3.87;6.58;6.48;6.42;barra 4,2 kg;6.44;5.7;5.3;12:35;31.11;5.43;55.39;2933.0;1.71
21/03/2016;receta 26;5.0;9030;9440.2;4.42;3.46;4.12;6.54;6.46;6.35;1 kg;6.29;5.64;5.18;8:10;31.29;5.57;58.46;3749.0;1.58
21/03/2016;receta 02;5.0;12000;12000.0;6.28;4.95;4.25;6.54;6.41;6.36;3 kg;6.45;5.32;5.2;16:50;29.59;5.6;56.57;15627.0;2.06
21/03/2016;receta 15;5.0;9000;9000.0;4.93;3.88;4.09;6.51;6.41;6.3;1 kg;6.32;5.5;5.26;8:30;29.93;5.4;55.43;8585.0;1.82
21/03/2016;receta 06;5.0;13030;13150.55;5.32;3.98;4.42;6.5;6.41;6.36;3 kg;6.36;5.75;5.48;14:40;31.11;5.32;57.28;26638.0;1.58
21/03/2016;receta 16;5.0;8520;8628.62;4.45;3.49;4.16;6.55;6.38;6.23;barra 3 kg;6.2;5.27;4.99;19:35;31.45;5.56;57.27;10728.0;2.02
22/03/2016;receta 18;5.0;8030;7777.44;4.76;3.6;4.26;6.51;6.37;6.28;mini;6.3;5.62;5.23;0:30;31.74;5.52;57.24;4559.0;0.69
22/03/2016;receta 16;5.0;8530;8801.06;4.59;3.61;4.31;6.53;6.37;6.25;barra 3 kg;6.3;5.4;5.02;18:20;30.14;5.44;56.75;10976.0;0.91
22/03/2016;receta 19;5.0;10520;10314.78;2.47;3.36;4.29;6.6;6.47;6.41;mini;6.38;5.69;5.37;3:15;;;;5088.0;
22/03/2016;receta 20;5.0;10020;9910.97;4.51;3.17;4.32;6.55;6.38;6.2;mini;6.29;5.3;5.19;3:25;29.94;5.47;56.5;7592.0;1.16
