fecha;cod_ruta;leche_tipo;leche_kg;leche_temp;leche_acidez;leche_ph;leche_dens;leche_est;leche_mg;leche_prot;leche_lactosa;leche_caseina
18/11/2015;32;VACA;26440;2,2;15;6,81;1,03;12,69;3,6;3,4;4,92;2,39
18/11/2015;28;VACA;16140;6,2;15;6,8;1,03;13,32;4,21;3,4;4,87;2,48
18/11/2015;26;VACA;5940;5;16;6,78;1,03;12,49;3,54;3,34;4,85;2,37
18/11/2015;25;VACA;10400;6,4;15;6,8;1,03;13,21;4,17;3,35;4,79;2,41
18/11/2015;27;VACA;12220;7,2;15;6,81;1,03;12,59;3,75;3,35;4,7;2,36
18/11/2015;2;VACA;13960;5,8;15;6,8;1,03;12,48;3,52;3,31;4,85;2,37
18/11/2015;2;VACA;8140;5,6;15;6,77;1,03;12,53;3,69;3,25;4,75;2,32
18/11/2015;34;VACA;25760;5,8;15;6,8;1,03;12,59;3,56;3,45;4,86;2,45
18/11/2015;33;VACA;22800;5;15;6,82;1,03;12,28;3,3;3,24;4,95;2,31
18/11/2015;18;VACA;25760;6,2;15;6,8;1,03;12,94;3,8;3,53;4,82;2,5
19/11/2015;18;VACA;25640;5,6;15;6,8;1,03;12,91;3,74;3,56;4,82;2,53
19/11/2015;22;VACA;24980;5,8;15;6,84;1,03;14,48;3,48;3,23;4,7;2,25
19/11/2015;29;VACA;9220;0;0;0;1,03;;;;;
19/11/2015;29;VACA;4360;5,5;17;6,77;1,03;12,21;3,25;3,4;4,78;2,39
19/11/2015;32;VACA;23980;5,3;15;6,75;1,03;12,41;3,65;3,21;4,7;2,23
19/11/2015;26;VACA;6060;4,5;15;6,76;1,03;12,59;3,5;3,43;4,91;2,45
19/11/2015;25;VACA;10700;6,5;15;6,77;1,03;13,13;4,16;3,33;4,78;2,35
19/11/2015;27;VACA;13420;8,5;15;6,79;1,03;12,69;3,84;3,28;4,8;2,33
19/11/2015;18;VACA;26380;5,2;15;6,8;1,03;13,1;3,82;3,61;4,86;2,59
20/11/2015;26;VACA;6000;4,5;15;6,77;1,03;12,42;3,44;3,39;4,83;2,38
20/11/2015;24;VACA;16620;8;15;6,81;1,03;12,13;3,41;3,2;4,71;2,2
20/11/2015;24;VACA;8960;4,5;15;6,84;1,03;12,44;3,8;3,16;4,64;2,18
20/11/2015;32;VACA;26160;2,3;15;6,78;1,03;12,64;3,59;3,41;4,88;2,43
20/11/2015;28;VACA;15840;6;15;6,82;1,03;13,25;4,19;3,37;4,84;2,43
20/11/2015;29;VACA;15980;5,9;15;6,77;1,03;11,99;3,28;3,2;4,75;2,23
20/11/2015;29;VACA;14040;4,6;15;6,83;1,03;12,26;3,45;3,28;4,72;2,27
20/11/2015;25;VACA;10620;5,3;15;6,8;1,03;13,11;4,13;3,33;4,81;2,37
20/11/2015;27;VACA;12380;7;15;6,85;1,03;12,64;3,76;3,37;4,72;2,39
21/11/2015;30;VACA;26040;4,3;15;6,83;1,03;12,62;3,79;3,34;4,66;2,3
21/11/2015;32;VACA;23680;5,4;15;6,78;1,03;12,3;3,59;3,17;4,7;2,22
21/11/2015;24;VACA;15220;7,5;15;6,75;1,03;12,45;3,62;3,29;4,75;2,32
21/11/2015;24;VACA;8520;6;15;6,75;1,03;12,63;3,86;3,2;4,71;2,24
21/11/2015;26;VACA;6000;4,3;15;6,83;1,03;12,56;3,43;3,45;4,91;2,44
21/11/2015;25;VACA;11000;6,3;15;6,78;1,03;13,04;4,05;3,33;4,82;2,36
21/11/2015;27;VACA;12960;7,3;15;6,83;1,03;12,66;3,83;3,26;4,79;2,31
22/11/2015;28;VACA;15760;5,7;15;6,83;1,03;13,22;4,15;3,38;4,89;2,43
22/11/2015;32;VACA;25920;2,2;15;6,83;1,03;12,77;3,67;3,41;4,92;2,43
22/11/2015;29;VACA;15980;3,8;15;6,85;1,03;12,23;3,46;3,19;4,81;2,26
22/11/2015;29;VACA;13980;5,3;15;6,85;1,03;12,28;3,53;3,3;4,63;2,29
22/11/2015;25;VACA;10940;6,7;15;6,8;1,03;13,02;4,06;3,35;4,79;2,38
22/11/2015;27;VACA;12320;6;15;6,84;1,03;12,61;3,8;3,35;4,68;2,35
22/11/2015;26;VACA;6160;4,2;15;6,8;1,03;12,74;3,6;3,48;4,89;2,48
22/11/2015;33;VACA;22520;4,5;15;6,82;1,03;12,49;3,45;3,29;4,97;2,35
23/11/2015;24;VACA;9540;6,3;15;6,81;1,03;12;3,36;3,25;4,64;2,26
23/11/2015;24;VACA;10540;6;15;6,83;1,03;12,62;3,79;3,25;4,75;2,3
23/11/2015;32;VACA;23760;5,3;15;6,8;1,03;12,24;3,56;3,2;4,67;2,29
23/11/2015;26;VACA;5960;4;15;6,77;1,03;12,63;3,55;3,46;4,85;2,49
23/11/2015;25;VACA;10360;5,8;15;6,77;1,03;13,23;4,22;3,38;4,76;2,42
23/11/2015;27;VACA;13360;7,7;15;6,8;1,03;12,73;3,86;3,3;4,8;2,39
24/11/2015;24;VACA;22060;6;15;6,86;1,03;12,7;3,71;3,31;4,84;2,34
24/11/2015;32;VACA;25800;2;15;6,83;1,03;12,66;3,63;3,43;4,83;2,42
24/11/2015;28;VACA;15860;5,6;15;6,83;1,03;13,36;4,2;3,45;4,88;2,51
24/11/2015;26;VACA;5800;3,8;15;6,8;1,03;12,8;3,6;3,51;4,91;2,52
24/11/2015;25;VACA;10420;4,8;15;6,78;1,03;13,27;4,22;3,39;4,76;2,42
24/11/2015;27;VACA;12340;6,6;15;6,82;1,03;12,74;3,81;3,4;4,71;2,39
25/11/2015;24;VACA;14620;6,8;15;6,82;1,03;12,22;3,55;3,25;4,61;2,24
25/11/2015;24;VACA;8020;5,4;15;6,77;1,03;12,42;3,64;3,17;4,74;2,21
25/11/2015;26;VACA;6320;4;15;6,82;1,03;12,63;3,5;3,48;4,85;2,46
25/11/2015;32;VACA;24080;5;15;6,77;1,03;12,24;3,51;3,22;4,67;2,27
25/11/2015;25;VACA;10800;6,2;15;6,77;1,03;13,13;4,1;3,35;4,79;2,38
25/11/2015;27;VACA;13020;7,5;15;6,8;1,03;12,8;3,9;3,32;4,79;2,38
26/11/2015;28;VACA;15680;6,4;15;6,8;1,03;13,27;4,27;3,36;4,87;2,43
26/11/2015;32;VACA;25840;2;15;6,81;1,03;12,74;3,72;3,43;4,89;2,44
26/11/2015;26;VACA;6180;4,5;15;6,8;1,03;12,67;3,62;3,47;4,87;2,49
26/11/2015;25;VACA;10360;7,5;15;6,78;1,03;13,13;4,19;3,35;4,85;2,41
26/11/2015;27;VACA;12400;7;15;6,81;1,03;12,58;3,85;3,35;4,66;2,34
26/11/2015;29;VACA;15860;5,3;15;6,79;1,03;12,28;3,56;3,26;4,76;2,29
26/11/2015;29;VACA;11560;5,5;16;6,75;1,03;12,41;3,71;3,29;4,6;2,28
27/11/2015;22;VACA;25480;6;15;6,8;1,03;12,45;3,57;3,26;4,92;2,31
27/11/2015;24;VACA;15980;7,5;15;6,8;1,03;12,29;3,6;3,21;4,72;2,24
27/11/2015;24;VACA;9060;6;15;6,8;1,03;12,24;3,71;3,1;4,67;2,14
27/11/2015;26;VACA;6160;4,4;15;6,81;1,03;12,69;3,62;3,44;4,9;2,46
27/11/2015;32;VACA;24340;5;14;6,83;1,03;12,31;3,64;3,21;4,68;2,27
27/11/2015;25;VACA;10880;5,7;15;6,8;1,03;13,06;4,13;3,33;4,82;2,34
27/11/2015;27;VACA;12680;7,8;15;6,81;1,03;12,73;3,93;3,3;4,79;2,32
28/11/2015;22;VACA;25140;5,8;15;6,84;1,03;12,38;3,53;3,23;4,89;2,27
28/11/2015;24;VACA;14520;5,4;15;6,8;1,03;12,19;3,53;3,2;4,71;2,23
28/11/2015;24;VACA;8360;5,7;15;6,77;1,03;12,61;3,83;3,26;4,77;2,32
28/11/2015;32;VACA;26280;2,7;15;6,8;1,03;12,71;3,69;3,43;4,89;2,42
28/11/2015;29;VACA;27280;4,5;14;6,84;1,03;12,12;3,49;3,2;4,71;2,2
28/11/2015;28;VACA;15900;6,1;15;6,82;1,03;13,01;4,03;3,38;4,9;2,4
28/11/2015;26;VACA;6260;4,5;15;6,8;1,03;12,65;3,6;3,45;4,91;2,42
28/11/2015;25;VACA;10980;7;15;6,8;1,03;12,95;4,04;3,32;4,81;2,37
28/11/2015;27;VACA;12480;7,2;15;6,82;1,03;12,65;3,88;3,33;4,68;2,36
28/11/2015;30;VACA;27140;4,2;14;6,86;1,03;12,28;3,46;3,35;4,73;2,32
29/11/2015;22;VACA;25320;6;15;6,83;1,03;12,38;3,53;3,23;4,88;2,28
29/11/2015;29;VACA;25660;3;15;6,83;1,03;12,12;3,42;3,15;4,81;2,2
29/11/2015;32;VACA;23740;5;15;6,83;1,03;12,24;3,6;3,18;4,65;2,24
29/11/2015;26;VACA;6260;4,3;15;6,8;1,03;12,51;3,48;3,43;4,87;2,44
29/11/2015;25;VACA;10440;5;15;6,82;1,03;13,09;4,13;3,35;4,82;2,37
29/11/2015;27;VACA;12840;8;15;6,85;1,03;12,64;3,84;3,29;4,77;2,32
30/11/2015;24;VACA;12780;5,6;15;6,86;1,03;12,34;3,58;3,27;4,7;2,3
